;30;;;45;;;60;;;75;;;85;;
;T [K];p [bar];rho [kg/m3];T [K];p [bar];rho [kg/m3];T [K];p [bar];rho [kg/m3];T [K];p [bar];rho [kg/m3];T [K];p [bar];rho [kg/m3]
82;189,9;2,808E-03;7,725E-03;195,5;2,718E-03;7,264E-03;199,7;2,582E-03;6,754E-03;205,3;2,717E-03;6,915E-03;206,2;2,670E-03;6,765E-03
84;183,8;1,733E-03;4,926E-03;188,6;1,699E-03;4,707E-03;191,7;1,629E-03;4,438E-03;196,1;1,734E-03;4,618E-03;198,6;1,710E-03;4,498E-03
86;178,2;1,053E-03;3,088E-03;181,8;1,044E-03;3,001E-03;183,8;1,008E-03;2,865E-03;187,8;1,084E-03;3,016E-03;191,4;1,077E-03;2,940E-03
88;173,6;6,312E-04;1,898E-03;176,6;6,317E-04;1,868E-03;178,4;6,132E-04;1,795E-03;182,4;6,665E-04;1,908E-03;186,3;6,686E-04;1,874E-03
90;169,4;3,736E-04;1,151E-03;172,3;3,772E-04;1,143E-03;173,9;3,680E-04;1,105E-03;178,1;4,047E-04;1,186E-03;181,3;4,099E-04;1,180E-03
92;167,2;2,191E-04;6,836E-04;170,4;2,233E-04;6,837E-04;171,8;2,187E-04;6,642E-04;175,1;2,433E-04;7,250E-04;177,5;2,484E-04;7,302E-04
94;167,2;1,281E-04;3,995E-04;169,5;1,317E-04;4,051E-04;170,2;1,294E-04;3,964E-04;172,0;1,451E-04;4,398E-04;173,5;1,490E-04;4,477E-04
96;169,2;7,519E-05;2,314E-04;170,0;7,768E-05;2,381E-04;169,7;7,637E-05;2,345E-04;169,6;8,586E-05;2,638E-04;170,2;8,845E-05;2,708E-04
98;172,0;4,450E-05;1,347E-04;170,9;4,595E-05;1,400E-04;169,0;4,502E-05;1,387E-04;167,4;5,048E-05;1,570E-04;167,6;5,207E-05;1,618E-04
100;175,4;2,660E-05;7,890E-05;172,2;2,729E-05;8,240E-05;168,8;2,652E-05;8,170E-05;166,1;2,954E-05;9,250E-05;166,1;3,048E-05;9,545E-05
